country,date,words
BA,2004-12-02,30791
BA,2004-12-14,29031
BA,2004-12-22,41246
BA,2004-12-23,4148
BA,2004-12-29,50186
BA,2005-01-12,63082
BA,2005-01-26,26705
BA,2005-02-03,34932
BA,2005-02-18,47522
BA,2005-02-22,26663
BA,2005-03-10,68810
BA,2005-03-22,5134
BA,2005-04-12,46068
BA,2005-04-21,48437
BA,2005-04-25,35702
BA,2005-05-04,11355
BA,2005-05-09,3204
BA,2005-05-17,39452
BA,2005-05-18,16768
BA,2005-06-08,56557
BA,2005-06-29,84976
BA,2005-06-30,918
BA,2005-07-19,43968
BA,2005-07-27,94443
BA,2005-07-28,19359
BA,2005-08-31,48664
BA,2005-09-15,7627
BA,2005-09-16,27177
BA,2005-09-28,34195
BA,2005-09-30,8666
BA,2005-10-05,34861
BA,2005-10-14,8841
BA,2005-10-18,3728
BA,2005-10-25,50088
BA,2005-10-31,12875
BA,2005-11-08,27179
BA,2005-11-16,4875
BA,2005-11-28,24177
BA,2005-12-21,59596
BA,2005-12-22,27074
BA,2006-01-16,50395
BA,2006-01-30,33540
BA,2006-01-31,12468
BA,2006-02-14,60981
BA,2006-02-21,26827
BA,2006-03-07,46916
BA,2006-03-23,32728
BA,2006-03-27,19550
BA,2006-04-06,2708
BA,2006-04-13,59337
BA,2006-04-25,96145
BA,2006-05-18,79224
BA,2006-05-23,20962
BA,2006-05-24,49072
BA,2006-06-20,48282
BA,2006-07-07,18015
BA,2006-07-25,67079
BA,2006-07-27,21059
BA,2006-08-29,36425
BA,2006-09-07,15784
BA,2006-09-18,27449
BA,2006-09-20,7559
BA,2006-11-20,9785
BA,2007-01-11,21910
BA,2007-02-09,46962
BA,2007-02-28,27054
BA,2007-03-14,3034
BA,2007-03-15,21077
BA,2007-03-16,3138
BA,2007-03-29,60456
BA,2007-03-30,5985
BA,2007-04-04,9824
BA,2007-04-12,33392
BA,2007-04-26,32887
BA,2007-05-22,19261
BA,2007-05-23,50420
BA,2007-06-13,41947
BA,2007-06-21,8955
BA,2007-06-29,17328
BA,2007-07-04,66058
BA,2007-07-30,20521
BA,2007-07-31,62617
BA,2007-09-06,47136
BA,2007-09-24,40474
BA,2007-09-26,33940
BA,2007-10-11,28714
BA,2007-10-29,12658
BA,2007-10-30,26897
BA,2007-11-30,21828
BA,2007-12-04,9674
BA,2007-12-12,52172
BA,2007-12-13,64260
BA,2007-12-17,23438
BA,2007-12-28,29543
BA,2008-01-16,63032
BA,2008-01-31,45686
BA,2008-02-13,47008
BA,2008-02-20,54793
BA,2008-02-25,28943
BA,2008-03-18,53658
BA,2008-03-19,36583
BA,2008-03-20,2244
BA,2008-04-02,34742
BA,2008-04-03,62739
BA,2008-04-07,7814
BA,2008-04-10,64070
BA,2008-04-16,24589
BA,2008-04-29,48184
BA,2008-05-14,65291
BA,2008-05-15,36638
BA,2008-06-04,47574
BA,2008-06-17,22507
BA,2008-06-18,40920
BA,2008-07-09,58126
BA,2008-07-14,51979
BA,2008-07-23,19269
BA,2008-07-29,52796
BA,2008-07-30,2138
BA,2008-09-03,32558
BA,2008-09-17,26737
BA,2008-09-24,35426
BA,2008-10-07,38495
BA,2008-10-08,55482
BA,2008-10-22,41382
BA,2008-10-27,21170
BA,2008-10-29,17568
BA,2008-11-05,51055
BA,2008-11-19,53511
BA,2008-12-03,57490
